Player,useless,Pos,Age,Tm,G,GS,FG,FGA,FG%,eFG%,FT,FTA,FT%,AST,STL,BLK,TOV,PS/G
Shelvin Mack,macksh01,PG,26,UTA,30,4,3.3,7.3,.447,.502,0.9,1.4,.667,3.2,0.9,0.0,2.0,8.3
Ian Mahinmi,mahinia01,C,30,WAS,1,0,0.0,1.0,.000,.000,1.0,2.0,.500,0.0,1.0,1.0,2.0,1.0
Thon Maker,makerth01,PF,19,MIL,10,0,0.6,1.1,.545,.636,0.6,1.0,.600,0.0,0.0,0.3,0.1,2.0
Boban Marjanovic,marjabo01,C,28,DET,12,0,0.9,2.7,.344,.344,0.5,0.8,.667,0.1,0.2,0.4,0.1,2.3
Jarell Martin,martija01,PF,22,MEM,30,2,1.7,4.2,.394,.425,1.1,1.5,.773,0.2,0.3,0.3,0.9,4.7
Wesley Matthews,matthwe02,SG,30,DAL,28,28,5.2,13.4,.388,.503,2.2,2.7,.813,2.2,1.4,0.1,1.6,15.6
Luc Mbah a Moute,mbahalu01,PF,30,LAC,28,28,2.3,4.5,.504,.579,1.1,1.6,.674,0.3,1.2,0.5,0.7,6.4
James Michael McAdoo,mcadoja01,PF,24,GSW,14,0,0.6,1.4,.400,.400,0.1,0.4,.200,0.2,0.1,0.2,0.3,1.2
Patrick McCaw,mccawpa01,SG,21,GSW,25,0,1.1,2.9,.389,.493,0.1,0.2,.500,1.0,0.4,0.3,0.6,3.0
Sheldon McClellan,mcclesh01,SG,24,WAS,8,2,1.8,3.8,.467,.500,1.1,1.4,.818,0.5,0.5,0.1,0.1,4.9
C.J. McCollum,mccolcj01,SG,25,POR,31,31,8.2,17.2,.478,.550,3.2,3.6,.901,3.6,0.9,0.6,2.2,22.2
T.J. McConnell,mccontj01,PG,24,PHI,28,1,1.8,4.1,.443,.452,0.4,0.6,.706,4.8,1.4,0.1,1.6,4.1
Chris McCullough,mcculch01,PF,21,BRK,9,0,1.2,2.7,.458,.479,0.1,0.1,1.000,0.1,0.0,0.2,0.2,2.7
K.J. McDaniels,mcdankj01,SF,23,HOU,17,0,1.4,3.1,.453,.519,0.3,0.4,.833,0.1,0.3,0.5,0.5,3.5
Doug McDermott,mcderdo01,SF,25,CHI,16,0,3.8,8.3,.462,.515,1.2,1.3,.905,1.3,0.3,0.1,0.8,9.7
JaVale McGee,mcgeeja01,C,29,GSW,26,2,2.4,3.9,.614,.614,0.7,1.6,.463,0.3,0.2,0.7,0.7,5.5
Rodney McGruder,mcgruro01,SG,25,MIA,27,15,2.2,5.6,.388,.464,0.8,1.1,.724,1.3,0.7,0.3,0.8,6.0
Ben McLemore,mclembe01,SG,23,SAC,23,8,2.4,5.7,.423,.481,0.8,1.0,.750,0.7,0.5,0.1,0.8,6.2
Jordan McRae,mcraejo01,SG,25,CLE,17,0,1.4,4.4,.324,.365,0.5,0.6,.727,0.5,0.3,0.1,0.4,3.6
Josh McRoberts,mcrobjo01,PF,29,MIA,21,13,2.0,5.4,.377,.430,0.3,0.4,.667,2.3,0.4,0.2,1.0,5.0
Jodie Meeks,meeksjo01,SG,29,ORL,11,0,2.2,6.1,.358,.455,1.9,2.2,.875,1.2,1.0,0.0,0.4,7.5
Salah Mejri,mejrisa01,C,30,DAL,25,11,1.2,1.9,.646,.646,0.3,0.5,.538,0.3,0.6,1.0,0.6,2.8
Jordan Mickey,mickejo01,PF,22,BOS,9,0,1.1,2.2,.500,.500,0.2,0.6,.400,0.3,0.1,0.0,0.4,2.4
C.J. Miles,milescj01,SF,29,IND,25,3,4.0,8.8,.452,.573,1.6,1.8,.909,0.7,0.8,0.5,0.5,11.6
Mike Miller,millemi01,SF,36,DEN,4,0,0.8,1.0,.750,1.125,0.0,0.0,,1.0,0.0,0.0,0.3,2.3
Patty Mills,millspa02,PG,28,SAS,29,4,3.9,8.2,.473,.596,1.2,1.3,.946,3.5,0.8,0.0,1.3,11.0
Paul Millsap,millspa01,PF,31,ATL,26,26,6.6,14.0,.470,.508,3.3,4.4,.754,3.7,1.7,0.9,2.2,17.5
Nikola Mirotic,mirotni01,PF,25,CHI,26,2,3.0,7.7,.388,.480,1.5,2.0,.736,1.0,0.7,0.8,1.2,8.9
Greg Monroe,monrogr01,C,26,MIL,26,0,3.6,7.2,.500,.500,2.1,2.5,.818,2.2,1.2,0.5,1.4,9.2
E'Twaun Moore,mooreet01,SG,27,NOP,27,20,4.1,9.3,.444,.500,0.8,1.0,.750,2.8,0.7,0.3,1.1,10.0
Marcus Morris,morrima03,SF,27,DET,31,31,5.3,12.3,.428,.490,1.5,1.8,.807,1.7,0.7,0.3,1.2,13.5
Markieff Morris,morrima02,PF,27,WAS,27,27,4.7,11.3,.416,.444,2.7,3.4,.804,1.9,1.2,0.6,1.9,12.8
Anthony Morrow,morroan01,SG,31,OKC,23,3,2.4,5.8,.421,.504,0.5,0.6,.786,0.6,0.5,0.1,0.2,6.3
Timofey Mozgov,mozgoti01,C,30,LAL,31,31,3.4,6.4,.528,.528,1.3,1.6,.796,0.9,0.3,0.5,1.4,8.0
Emmanuel Mudiay,mudiaem01,PG,20,DEN,28,28,4.5,12.2,.368,.417,2.6,3.4,.779,3.8,0.8,0.3,2.8,12.8
Shabazz Muhammad,muhamsh01,SF,24,MIN,25,0,2.3,5.7,.408,.433,1.6,2.1,.755,0.5,0.2,0.1,0.6,6.5
Dejounte Murray,murrade01,PG,20,SAS,12,1,0.5,1.6,.316,.368,0.3,0.8,.400,0.7,0.1,0.0,0.7,1.5
Jamal Murray,murraja01,SG,19,DEN,29,3,3.2,8.6,.378,.468,1.2,1.4,.810,2.0,0.4,0.3,1.4,9.2
Mike Muscala,muscami01,C,25,ATL,29,3,3.3,6.1,.537,.602,1.0,1.3,.757,1.6,0.5,0.7,1.1,8.3
Larry Nance Jr.,nancela02,PF,24,LAL,28,0,3.1,5.3,.584,.591,0.7,1.0,.704,1.3,1.2,0.6,0.8,7.0
Shabazz Napier,napiesh01,PG,25,POR,19,0,1.0,2.7,.365,.471,0.6,0.9,.706,1.1,0.6,0.0,0.4,3.2
Maurice Ndour,ndourma01,PF,24,NYK,13,0,0.8,1.9,.440,.440,0.7,0.8,.900,0.1,0.4,0.2,0.2,2.4
Jameer Nelson,nelsoja01,PG,34,DEN,29,6,3.6,8.2,.439,.513,0.6,0.8,.727,4.3,0.7,0.1,2.0,9.0
Raul Neto,netora01,PG,24,UTA,14,0,1.1,2.1,.500,.583,0.1,0.1,1.000,0.6,0.2,0.0,0.4,2.6
Georges Niang,niangge01,PF,23,IND,14,0,0.3,1.9,.148,.167,0.1,0.1,1.000,0.4,0.1,0.0,0.4,0.8
Andrew Nicholson,nichoan01,PF,27,WAS,20,0,1.3,3.1,.419,.444,0.3,0.5,.600,0.3,0.4,0.3,0.5,3.1
Joakim Noah,noahjo01,C,31,NYK,25,25,2.0,4.4,.468,.468,0.6,1.7,.381,2.5,0.7,0.8,1.2,4.7
Nerlens Noel,noelne01,C,22,PHI,3,0,2.0,3.7,.545,.545,0.7,0.7,1.000,0.0,0.3,0.3,0.0,4.7
Lucas Nogueira,noguelu01,C,24,TOR,21,0,2.0,2.7,.737,.737,0.9,1.3,.704,0.8,1.0,1.8,0.7,4.9
Steve Novak,novakst01,PF,33,MIL,4,0,0.0,0.8,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
