"","Player","Pos","Age","Tm","G","GS","FG","FGA","FG.","eFG.","FT","FTA","FT.","AST","STL","BLK","TOV","PS.G","tG","tGS","tFG","tFGA","tFG.","teFG.","tFT","tFTA","tFT.","tAST","tTOV","tPTS","aG","aTS.","aAST.","aTOV.","aUSG.","aVORP","GP","W","L","Min","PassesMade","PassesReceived","Ast","FTAst","SecondaryAst","PotentialAst","AstPtsCreated","AstAdj","AstToPassRatio","AstToPassRatioAdj","PSR"
"39","Anthony Davis","PF",23,"NOP",29,29,10.6,21.7,0.49,0.504,7.9,9.8,0.807,2.2,1.5,2.7,2.4,29.8,29,29,308,628,0.49,0.504,230,285,0.807,63,71,863,29,0.573,11.6,8.6,33.7,1.8,29,10,19,1082,1399,1442,63,8,23,128,154,94,4.5,6.7,1.88
"40","Matthew Dellavedova","PG",26,"MIL",27,27,3,7.8,0.386,0.455,0.7,0.9,0.833,5.6,0.9,0,1.9,7.8,27,27,81,210,0.386,0.455,20,24,0.833,151,52,211,27,0.478,27.9,19.1,15.8,-0.3,26,12,14,733,1226,1268,142,18,33,273,313,193,11.6,15.7,5.62
"41","Luol Deng","SF",31,"LAL",32,32,3.2,8.1,0.394,0.458,0.7,1.1,0.657,1.5,1.1,0.3,0.8,8.1,32,32,102,259,0.394,0.458,23,35,0.657,47,26,260,32,0.474,8,8.7,15,0.1,32,11,21,847,925,741,47,1,9,93,112,57,5.1,6.2,3.42
"42","DeMar DeRozan","SG",27,"TOR",28,28,10,20.8,0.482,0.493,7.4,8.8,0.849,4.1,1.2,0.1,2.6,27.9,28,28,280,581,0.482,0.493,208,245,0.849,114,73,781,28,0.567,20.6,9.6,34.4,0.8,26,19,7,919,833,1323,108,8,26,215,275,142,13,17,1.41
"43","Boris Diaw","PF",34,"UTA",21,18,2.1,4.6,0.458,0.5,0.4,0.4,0.889,2.6,0.2,0,1.6,5,21,18,44,96,0.458,0.5,8,9,0.889,54,34,104,21,0.52,18.2,25.4,14.1,-0.1,20,11,9,424,661,612,51,9,8,107,123,68,7.7,10.3,5.79
"44","Gorgui Dieng","PF",27,"MIN",28,28,4.3,8.3,0.519,0.528,1.6,2.1,0.733,2.1,0.9,1.3,1.8,10.4,28,28,121,233,0.519,0.528,44,60,0.733,60,51,290,28,0.559,10.1,16.4,15.1,0.8,28,9,19,902,1077,783,60,5,8,116,146,73,5.6,6.8,3.87
"45","Goran Dragic","PG",30,"MIA",25,25,6.9,15.4,0.451,0.503,3.7,4.6,0.802,6.7,1,0.2,3.2,19.2,25,25,173,384,0.451,0.503,93,116,0.802,167,80,479,25,0.551,33.4,15.5,26.6,0.8,25,9,16,860,1533,1839,167,12,31,324,405,210,10.9,13.7,3.67
"46","Andre Drummond","C",23,"DET",30,30,6,11.3,0.529,0.531,2,4.2,0.472,1.1,1.5,1,2,14,30,30,180,340,0.529,0.531,59,125,0.472,33,59,420,30,0.532,6.1,13,22.9,0.8,29,13,16,875,863,588,29,1,20,59,66,50,3.4,5.8,2.07
"47","Kevin Durant","SF",28,"GSW",30,30,9,16.9,0.535,0.589,5.8,6.7,0.865,4.6,1.3,1.6,2.1,25.7,30,30,271,507,0.535,0.589,173,200,0.865,139,64,770,30,0.647,21.5,9.7,27.6,2.6,30,26,4,1019,1137,1259,139,14,30,247,350,183,12.2,16.1,2.15
"48","Monta Ellis","SG",31,"IND",24,23,3.7,8.5,0.433,0.47,1.8,2.1,0.84,3.7,1.1,0.5,2.3,9.7,24,23,88,203,0.433,0.47,42,50,0.84,89,56,233,24,0.518,17.3,19.9,16.4,-0.1,24,12,12,753,807,885,89,9,29,186,219,127,11,15.7,3.64
