Player,Tm,GP,W,L,Min,PassesMade,PassesReceived,Ast,FTAst,SecondaryAst,PotentialAst,AstPtsCreated,AstAdj,AstToPassRatio,AstToPassRatioAdj
Jodie Meeks,ORL,11,6,5,192,143,185,13,1,3,22,28,17,9.1,11.9
Deyonta Davis,MEM,21,14,7,165,142,97,2,0,0,7,4,2,1.4,1.4
Jakob Poeltl,TOR,14,12,2,160,141,76,4,0,5,10,10,9,2.8,6.4
Kyle Singler,OKC,15,8,7,175,140,126,3,0,1,7,8,4,2.1,2.9
Jordan McRae,CLE,17,13,4,161,139,180,9,0,4,22,23,13,6.5,9.4
Willie Reed,MIA,22,9,13,252,138,98,6,0,2,12,13,8,4.3,5.8
Kevin Seraphin,IND,14,5,9,125,133,95,8,1,2,20,19,11,6,8.3
Chris Andersen,CLE,12,8,4,114,129,79,5,1,1,10,14,7,3.9,5.4
Paul Pierce,LAC,9,7,2,109,128,109,2,0,0,7,5,2,1.6,1.6
Adreian Payne,MIN,9,3,6,84,124,102,3,2,1,11,8,6,2.4,4.8
James Jones,CLE,16,12,4,96,119,97,2,0,1,6,6,3,1.7,2.5
Anthony Brown,NOP,9,3,6,143,118,114,6,2,0,12,15,8,5.1,6.8
Gerald Green,BOS,13,8,5,127,118,131,16,2,2,21,38,20,13.6,16.9
Timothe Luwawu-Cabarrot,PHI,18,3,15,121,118,107,6,1,2,15,15,9,5.1,7.6
Jordan Mickey,BOS,9,4,5,68,118,86,3,0,2,12,6,5,2.5,4.2
Anderson Varejao,GSW,9,7,2,62,117,81,7,0,0,15,18,7,6,6
Raul Neto,UTA,14,7,7,80,113,134,8,2,1,14,24,11,7.1,9.7
Georges Niang,IND,14,7,7,75,107,83,5,0,1,11,11,6,4.7,5.6
James Michael McAdoo,GSW,14,11,3,83,102,80,3,0,3,11,10,7,2.9,6.9
Brandon Rush,MIN,11,2,9,121,101,99,7,0,1,12,16,8,6.9,7.9
Maurice Ndour,NYK,13,6,7,99,93,76,1,0,1,7,2,2,1.1,2.2
Caris LeVert,BKN,7,2,5,85,93,89,11,0,3,20,29,14,11.8,15.1
Alan Williams,PHX,12,2,10,102,92,50,1,0,0,5,3,1,1.1,1.1
Jake Layman,POR,17,6,11,118,88,107,6,0,1,8,14,7,6.8,8
KJ McDaniels,HOU,17,12,5,171,87,108,2,0,1,9,4,3,2.3,3.4
Sheldon McClellan,WAS,8,2,6,97,86,92,4,0,2,7,9,6,4.7,7
Nick Collison,OKC,9,3,6,53,86,69,7,1,0,13,17,8,8.1,9.3
Cheick Diallo,NOP,6,2,4,79,84,52,2,1,1,2,5,4,2.4,4.8
Mike Scott,ATL,5,1,4,53,83,70,6,0,0,11,14,6,7.2,7.2
Rashad Vaughn,MIL,13,6,7,140,82,107,4,0,3,4,9,7,4.9,8.5
Spencer Dinwiddie,BKN,5,1,4,43,81,87,5,0,0,13,12,5,6.2,6.2
Dejounte Murray,SAS,12,8,4,54,79,94,8,0,1,18,19,9,10.1,11.4
Jordan Farmar,SAC,2,1,1,35,76,82,9,0,0,12,21,9,11.8,11.8
Greivis Vasquez,BKN,2,1,1,32,74,70,5,2,3,15,16,10,6.8,13.5
Alonzo Gee,DEN,12,4,8,85,70,52,6,0,0,12,16,6,8.6,8.6
Brian Roberts,CHA,7,4,3,44,70,83,4,0,1,21,10,5,5.7,7.1
Tyreke Evans,NOP,3,1,2,41,68,73,8,1,2,12,20,11,11.8,16.2
Michael Carter-Williams,CHI,2,2,0,40,64,69,8,0,3,13,19,11,12.5,17.2
James Young,BOS,11,6,5,64,61,49,3,2,0,10,9,5,4.9,8.2
Pat Connaughton,POR,12,4,8,65,61,53,4,0,2,8,10,6,6.6,9.8
Metta World Peace,LAL,12,1,11,70,59,54,4,1,0,7,8,5,6.8,8.5
Alan Anderson,LAC,8,7,1,86,54,57,3,0,4,3,6,7,5.6,13
Reggie Williams,NOP,5,1,4,63,53,64,4,0,0,8,9,4,7.5,7.5
Henry Ellenson,DET,8,4,4,31,53,43,1,0,1,3,2,2,1.9,3.8
Fred VanVleet,TOR,7,7,0,37,52,60,7,0,1,11,15,8,13.5,15.4
Ryan Kelly,ATL,8,3,5,39,52,35,4,0,1,8,10,5,7.7,9.6
Chris McCullough,BKN,8,0,8,39,50,41,1,0,2,1,2,3,2,6
Ivica Zubac,LAL,6,2,4,37,45,30,0,0,2,0,0,2,0,4.4
Boban Marjanovic,DET,12,7,5,62,44,53,1,1,2,4,2,4,2.3,9.1
DeAndre' Bembry,ATL,9,4,5,44,42,46,2,1,0,3,2,3,4.8,7.1
CJ Wilcox,ORL,10,3,7,57,42,48,7,0,1,10,18,8,16.7,19
Quincy Acy,DAL,6,0,6,48,41,32,0,0,0,1,0,0,0,0
Udonis Haslem,MIA,8,2,6,41,41,31,1,0,0,2,2,1,2.4,2.4
Malik Beasley,DEN,10,4,6,54,41,54,3,0,5,5,7,8,7.3,19.5
AJ Hammons,DAL,15,3,12,70,41,46,2,0,1,5,6,3,4.9,7.3
Paul Zipser,CHI,7,4,3,42,40,43,3,0,0,6,7,3,7.5,7.5
Treveon Graham,CHA,6,4,2,53,39,37,2,0,0,5,5,2,5.1,5.1
Bryn Forbes,SAS,12,9,3,55,37,40,1,2,3,2,5,6,2.7,16.2
Thon Maker,MIL,10,5,5,37,36,28,0,0,0,0,0,0,0,0
Mike Miller,DEN,4,0,4,17,32,24,4,0,0,8,9,4,12.5,12.5
Arinze Onuaku,ORL,5,2,3,20,29,21,0,0,0,6,0,0,0,0
Stephen Zimmerman,ORL,5,1,4,20,29,20,1,0,0,2,2,1,3.4,3.4
Nerlens Noel,PHI,3,1,2,25,29,27,0,0,1,0,0,1,0,3.4
Tim Quarterman,POR,10,4,6,34,28,34,4,0,0,9,9,4,14.3,14.3
Marshall Plumlee,NYK,3,2,1,27,27,8,1,0,0,1,3,1,3.7,3.7
Bobby Brown,HOU,6,4,2,22,26,35,0,0,1,1,0,1,0,3.8
Archie Goodwin,NOP,3,1,2,30,26,33,1,0,0,6,3,1,3.8,3.8
Reggie Bullock,DET,4,1,3,42,26,39,1,0,1,2,2,2,3.8,7.7
Joel Bolomboy,UTA,9,6,3,20,26,19,1,0,0,2,2,1,3.8,3.8
Kyle Wiltjer,HOU,6,5,1,18,25,23,0,0,0,0,0,0,0,0
Michael Gbinije,DET,7,5,2,26,24,18,2,0,0,2,5,2,8.3,8.3
Skal Labissiere,SAC,3,0,3,24,20,15,0,0,1,0,0,1,0,5
Aaron Harrison,CHA,4,2,2,15,19,18,2,0,0,3,5,2,10.5,10.5
Daniel Ochefu,WAS,6,3,3,23,18,12,1,0,1,1,3,2,5.6,11.1
