Player,usless,Tm,aG,aTS%,aAST%,aTOV%,aUSG%,aVORP
Dwight Howard,howardw01,ATL,26,.624,6.7,18.0,20.7,0.8
Marcelo Huertas,huertma01,LAL,13,.436,34.7,26.1,16.2,-0.2
Kris Humphries,humphkr01,ATL,20,.498,6.4,14.6,18.7,-0.1
R.J. Hunter,hunterj01,CHI,3,.000,0.0,0.0,4.8,0.0
Serge Ibaka,ibakase01,ORL,31,.574,5.7,7.9,21.0,0.7
Andre Iguodala,iguodan01,GSW,29,.541,16.8,10.8,10.5,0.6
Ersan Ilyasova,ilyaser01,TOT,28,.574,9.8,10.2,21.5,0.3
Ersan Ilyasova,ilyaser01,OKC,3,.469,2.2,20.0,13.8,-0.1
Ersan Ilyasova,ilyaser01,PHI,25,.579,10.5,9.6,22.2,0.3
Joe Ingles,inglejo01,UTA,30,.649,15.4,14.9,14.5,0.7
Brandon Ingram,ingrabr01,LAL,32,.431,10.4,13.7,15.6,-0.6
Kyrie Irving,irvinky01,CLE,25,.589,27.6,10.9,29.4,1.0
Demetrius Jackson,jacksde01,BOS,4,.753,28.5,0.0,17.4,0.0
Reggie Jackson,jacksre01,DET,10,.505,30.7,12.7,27.8,0.0
LeBron James,jamesle01,CLE,25,.596,42.5,15.2,30.0,2.5
Al Jefferson,jeffeal01,IND,31,.498,8.9,4.9,24.4,-0.3
Richard Jefferson,jefferi01,CLE,27,.553,7.0,10.4,11.6,0.1
John Jenkins,jenkijo01,PHO,4,.595,11.8,0.0,19.0,0.0
Brandon Jennings,jennibr01,NYK,29,.498,32.8,20.5,18.3,-0.1
Jonas Jerebko,jerebjo01,BOS,29,.567,6.7,10.4,12.1,0.2
Amir Johnson,johnsam01,BOS,29,.608,13.2,13.8,13.6,0.5
James Johnson,johnsja01,MIA,26,.597,15.8,16.6,19.3,0.6
Joe Johnson,johnsjo02,UTA,30,.542,12.3,9.6,17.9,0.3
Stanley Johnson,johnsst04,DET,27,.457,9.2,12.7,14.8,0.1
Tyler Johnson,johnsty01,MIA,28,.524,16.4,8.2,19.9,0.8
Wesley Johnson,johnswe01,LAC,24,.461,4.9,11.4,13.8,0.1
Nikola Jokic,jokicni01,DEN,26,.630,21.9,13.8,18.7,1.2
Damian Jones,jonesda03,GSW,1,,0.0,100.0,9.5,0.0
Derrick Jones,jonesde02,PHO,2,1.042,0.0,0.0,10.1,0.0
James Jones,jonesja02,CLE,16,.911,3.3,12.1,15.2,0.2
Terrence Jones,joneste01,NOP,30,.520,7.4,9.2,20.5,0.1
Tyus Jones,jonesty01,MIN,18,.597,29.8,19.5,14.0,0.1
DeAndre Jordan,jordade01,LAC,30,.655,3.6,14.1,14.7,1.1
Cory Joseph,josepco01,TOR,27,.526,18.4,10.9,19.3,0.3
Frank Kaminsky,kaminfr01,CHO,27,.470,16.0,8.8,21.0,0.1
Enes Kanter,kanteen01,OKC,29,.607,6.6,11.5,25.8,0.2
Ryan Kelly,kellyry01,ATL,8,.444,13.6,11.3,9.9,0.0
Michael Kidd-Gilchrist,kiddgmi01,CHO,28,.500,5.9,8.9,15.1,0.2
Sean Kilpatrick,kilpase01,BRK,28,.563,15.3,16.0,25.1,-0.1
Brandon Knight,knighbr03,PHO,29,.497,19.0,13.0,26.2,-0.3
Kyle Korver,korveky01,ATL,27,.601,11.4,15.6,14.0,0.3
Kosta Koufos,koufoko01,SAC,29,.546,4.4,15.6,14.1,0.0
Mindaugas Kuzminskas,kuzmimi01,NYK,24,.515,11.6,10.1,17.7,0.0
Skal Labissiere,labissk01,SAC,3,.601,0.0,10.7,17.4,0.0
Jeremy Lamb,lambje01,CHO,18,.530,9.9,8.8,24.9,0.0
Nicolas Laprovittola,laproni01,SAS,17,.590,24.0,26.5,18.0,-0.1
Joffrey Lauvergne,lauvejo01,OKC,25,.525,9.6,9.4,17.6,0.1
Zach LaVine,lavinza01,MIN,27,.589,14.1,10.1,22.5,0.7
Ty Lawson,lawsoty01,SAC,29,.498,26.7,18.0,16.7,0.1
Jake Layman,laymaja01,POR,17,.442,7.3,7.3,20.3,-0.1
Courtney Lee,leeco01,NYK,27,.559,8.9,8.4,13.6,0.3
David Lee,leeda02,SAS,29,.608,13.6,13.5,16.1,0.6
Alex Len,lenal01,PHO,27,.551,4.6,14.6,16.9,0.1
Kawhi Leonard,leonaka01,SAS,29,.597,16.7,9.0,30.2,2.1
Meyers Leonard,leoname01,POR,28,.486,7.5,10.2,16.6,-0.4
Jon Leuer,leuerjo01,DET,30,.594,9.7,8.7,17.6,1.0
Caris LeVert,leverca01,BRK,8,.368,15.5,12.0,16.9,-0.1
DeAndre Liggins,liggide01,CLE,19,.529,10.7,22.9,11.2,0.1
Damian Lillard,lillada01,POR,31,.601,29.5,10.7,31.2,1.6
Jeremy Lin,linje01,BRK,10,.559,40.8,16.1,24.9,0.3
Shaun Livingston,livinsh01,GSW,29,.575,13.0,15.2,12.2,0.0
Kevon Looney,looneke01,GSW,26,.628,9.5,9.8,12.9,0.3
Brook Lopez,lopezbr01,BRK,25,.580,16.6,11.4,29.2,0.9
Robin Lopez,lopezro01,CHI,28,.494,4.3,9.0,16.3,0.3
Kevin Love,loveke01,CLE,24,.619,9.2,10.2,27.5,1.2
Kyle Lowry,lowryky01,TOR,28,.625,30.1,14.4,23.8,2.2
John Lucas III,lucasjo02,MIN,5,.250,13.0,0.0,15.9,0.0
Timothe Luwawu-Cabarrot,luwawti01,PHI,18,.454,7.6,10.4,17.5,-0.1
Trey Lyles,lylestr01,UTA,30,.494,10.1,12.4,22.6,0.1
Shelvin Mack,macksh01,UTA,30,.522,22.7,19.9,20.5,0.1
Ian Mahinmi,mahinia01,WAS,1,.266,0.0,51.5,12.2,0.0
